tag,scraped_at,post_id,author_name,post_text,likes_count,comments_count,has_media,media_type,image_text,top_comments,comment_authors
awamileague,2025-10-28T16:55:28.212520,post_1,Mohammad Razaul,NCP দুই গালে চপা মারে তালে তালে 😁😁👏👏 NCP দুই গালে চপা মারে তালে তালে 😁😁👏👏…,,,True,video,"Sorry, we're having trouble with playing this video. Learn more",,
awamileague,2025-10-28T16:55:28.212520,post_2,Dhaka 144,"পিতা তোমার স্বরণে ভয় করি না মরণে, ১৫ই আগষ্ট, জাতীয় শোক দিবস...",,,True,video,"শ্রদ্ধা, জাতির পিতা",,
awamileague,2025-10-28T16:55:28.212520,post1,Awami League Gopalgonj,#SheikhHasina #Bangladesh #AwamiLeague #everyone,,,True,video,,,
awamileague,2025-10-28T16:55:28.212520,1,,"DON'T NOMINATE FOR UN PEACEKEEPING ANY RAB, DGFI, OR DB PERSONNEL UNTIL HUMAN RIGHTS SCREENING MECHANISM FORMED: UN",852,21 comments,True,image,,,
awamileague,2025-10-28T16:55:28.212520,2,Dhaka 144,"পুলিশ আড়ালে নিয়ে কি বলছে মেয়েটাকে, শুনুন তার মুখ থেকে।",,,True,video,"পুলিশ আড়ালে নিয়ে কি বলছে মেয়েটাকে
ছাত্রলীগের নেত্রী বলে",,
